origin_index,origin_date,target_date,y,p_cal,p_raw,p_50,p_frequency,p_fast_only,p_static_logistic,p_equal_candidates,config_id,ridge_lambda,state_discount,dma_alpha,calibration_n,calibration_intercept,calibration_slope,direction,candidate_weights
179,2025-12-03,2025-12-04,1,0.5967753158740897,0.5528133652514292,0.5,0.5694444444444444,0.5570727248768614,0.5436554184995837,0.5523459305265134,L4_D0.99_A1,4.0,0.99,1.0,119,0.670895154086018,-1.3150471458316442,UNCERTAIN,"[0.4380105484700403,0.2762437162851995,0.28574573524476027]"
180,2025-12-04,2025-12-05,0,0.5918424917923714,0.5600159890227374,0.5,0.5718232044198895,0.5603054706542481,0.5478862095669131,0.5596668329608719,L4_D0.99_A1,4.0,0.99,1.0,120,0.701394257883574,-1.3672057467030747,UNCERTAIN,"[0.44001684181686435,0.2754471973406352,0.28453596084250055]"
181,2025-12-05,2025-12-07,0,0.5973620160281033,0.5511141624638762,0.5,0.5686813186813187,0.5562456093609424,0.542853316377585,0.5506355253465737,L4_D0.99_A1,4.0,0.99,1.0,121,0.6636955307562228,-1.3121100824272407,UNCERTAIN,"[0.4381640769968312,0.2761356140149198,0.28570030898824905]"
182,2025-12-07,2025-12-08,0,0.6007908380286663,0.5424102058943852,0.5,0.5655737704918032,0.5522436896531931,0.5379112050202526,0.5418186139433647,L4_D0.99_A1,4.0,0.99,1.0,122,0.6183339828810849,-1.2324219172493234,UP,"[0.4356388692695143,0.27715287345506867,0.28720825727541704]"
183,2025-12-08,2025-12-09,1,0.5776510326202857,0.48313440198804064,0.5,0.5625,0.5482985262607171,0.5330576290852904,0.4826258600826594,L4_D0.97_A1,4.0,0.97,1.0,123,0.29583794851675416,-0.25634305246942674,UNCERTAIN,"[0.4397401676384775,0.278385215719908,0.28187461664161456]"
184,2025-12-09,2025-12-10,1,0.5997892708713114,0.5412414416756982,0.5,0.5648648648648649,0.5515025691244158,0.5372332108002114,0.5406527654419113,L4_D0.99_A1,4.0,0.99,1.0,124,0.6050388860995269,-1.2123504719510358,UNCERTAIN,"[0.4357147404043666,0.2770887369057349,0.28719652268989854]"
185,2025-12-10,2025-12-11,1,0.5964906903279164,0.5484059001025468,0.5,0.5672043010752689,0.5546612192500502,0.5413343445468743,0.5479189870556777,L4_D0.99_A1,4.0,0.99,1.0,125,0.6397105111369445,-1.281181858134393,UNCERTAIN,"[0.43834514960557674,0.27597861344727076,0.28567623694715244]"
186,2025-12-11,2025-12-12,1,0.5921380539714847,0.5553979902229521,0.5,0.56951871657754,0.5577754223511395,0.5453629229066317,0.5550140769305312,L4_D0.99_A1,4.0,0.99,1.0,126,0.670253517642765,-1.3367873964452417,UNCERTAIN,"[0.44044289483008253,0.2751158311452238,0.28444127402469377]"
187,2025-12-12,2025-12-14,1,0.5870243720148691,0.562225008817657,0.5,0.5718085106382979,0.5608460987464507,0.5493207804946358,0.5619434707385341,L4_D0.99_A1,4.0,0.99,1.0,127,0.6968205955630671,-1.379483860066821,UNCERTAIN,"[0.44204761963492345,0.27448243508993564,0.28346994527514097]"
188,2025-12-14,2025-12-15,1,0.581419973543995,0.5688937100998982,0.5,0.5740740740740741,0.5638741441662515,0.5532096957364246,0.568712410255995,L4_D0.99_A1,4.0,0.99,1.0,128,0.7194835369674701,-1.4093883971599124,UNCERTAIN,"[0.4431962935417132,0.2740615933551673,0.2827421131031196]"
